Title,Tag,Summary,Url,Rating,Make_Again_Pct,Ingredients,Direction,Tags
"Flatbread with Fava Beans, Cucumbers, and Burrata",recipe,Fava beans most likely require a trip to a farmers’ market and take a while to peel. Sugar snap peas cut into bite-size pieces are a fine alternative.,/recipes/food/views/flatbread-with-fava-beans-cucumbers-and-burrata,4,100%,"['2 cups shelled fava beans (from about 2 pounds pods)', 'Kosher salt', '2 tablespoons fresh lemon juice', '2 tablespoons olive oil, plus more for grill', 'Freshly ground black pepper', '2 Persian cucumbers, thinly sliced', '2 tablespoons unseasoned rice vinegar', '1/2 Garlic-Herb Naan or 1 pound store-bought pizza dough, room temperature, halved', '2 (8-ounce) balls burrata or fresh mozzarella, drained', 'Basil leaves (for serving)', '1 teaspoon toasted sesame seeds', 'Flaky sea salt']","['Cook fava beans in a medium saucepan of boiling salted water until tender, about 4 minutes. Using a mesh sieve, transfer to a colander set in a bowl of ice water. Drain and peel. Combine lemon juice, 2 Tbsp. oil, and half of fava beans in a medium bowl and lightly mash with a fork. Stir in remaining fava beans; season with kosher salt and pepper.', 'Combine cucumbers and vinegar in a medium bowl; season with kosher salt. Let sit until slightly softened, 10–12 minutes.', 'Prepare a grill for medium-high, indirect heat (for a charcoal grill, bank coals on one side of grill; for a gas grill, leave one or two burners off); lightly oil grate. Working with 1 piece of dough at a time, gently stretch to about a 10x8"" oval. Grill over direct heat, turning and rotating as needed, until bread is stiff and both sides are lightly charred, about 3 minutes total. Move to indirect heat to keep warm while you grill the remaining piece of dough.', 'Transfer flatbreads to a work surface. Tear burrata into pieces and divide between flatbreads; top with fava bean mixture, cucumbers, and basil. Sprinkle with sesame seeds, sea salt, and pepper.']","['Bon Appétit', 'Basil', 'Flat Bread', 'Cheese', 'Cucumber', 'Bean', 'Mediterranean', 'Appetizer', 'Lunch', 'Grill', 'Vegetarian', 'Pescatarian', 'Wheat/Gluten-Free', 'Peanut Free', 'Tree Nut Free', 'Soy Free', 'No Sugar Added', 'Kosher']"
4 Clean and Green Dinners for Cold Weather,article,"Our newest leafy-green recipes will have you ooing and awing at their vibrant, verdant beauty.",/recipes-menus/green-healthy-dinners-recipes-article,,,,,
4 Crunchy Salads for Fall,article,"Get out the mandoline, it's time for salad.",/recipes-menus/crunchy-salads-recipes-for-fall-article,,,,,
Watch How Easy It Is to Make This Moroccan-Inspired Steak Salad,article,The secret's in the sauce.,/recipes-menus/watch-how-easy-it-is-to-make-moroccan-inspired-steak-salad-with-chermoula-article,,,,,
The Absolute Easiest Way to Make Homemade Pickles,article,Seriously: it doesn't get simpler than this.,/expert-advice/how-to-make-pickles-at-home-the-easy-way-article,,,,,
Moroccan Skirt Steak Salad With Chermoula,recipe,"A fragrant, herbaceous sauce acts as both a marinade and a dressing for this pretty, Moroccan-inspired salad.",/recipes/food/views/moroccan-skirt-steak-salad-with-chermoula,3,75%,"['1 pound skirt steak, sliced crosswise into 5–6-inch-long pieces', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1/2 cup Blender Chermoula Sauce', 'Vegetable oil (for grill)']","['Season steak with salt and pepper. Place steak in a large resealable bag or bowl. Pour chermoula over, toss to coat, then let rest at room temperature at least 1 hour.', 'Prepare a grill for medium-high heat or heat grill pan over medium-high; lightly oil grate or pan. Remove steak from marinade; discard marinade. Grill steak until an instant-read thermometer inserted into the center registers 125°F, 2–3 minutes per side for medium-rare. Transfer to a cutting board and let rest 10 minutes before slicing against the grain.']","['Moroccan', 'Steak', 'Salad', 'Sauce', 'Cilantro', 'Parsley', 'Cucumber', 'Arugula', 'Pomegranate', 'Feta', 'Dinner', 'Flaming Hot Summer', 'Wheat/Gluten-Free', 'Peanut Free', 'Soy Free', 'No Sugar Added']"
The Cool Way to Make Chilled Soup Even Colder,article,Here's a chilling (and instant) solution to ultimate refreshment.,/expert-advice/how-to-make-cold-soup-colder-with-ice-in-summer-article,,,,,
Weird and Wild Watermelon Pairings,article,Feta and tomatoes are only the beginning.,/ingredients/sweet-and-savory-watermelon-recipes-for-summer-article,,,,,
Easy After-School Snacks,article,These 3-ingredient snacks will keep bellies full until dinnertime.,/expert-advice/three-ingredient-after-school-snacks-article,,,,,
3 Rules for Muddling Cocktails,article,Score muddled drink gold by abiding by these three muddling rules.,/expert-advice/muddling-tips-caipirinha-cocktail-article,,,,,
How to Use Your Refrigerator's Crisper Drawer,article,"To keep your produce fresher, longer, you need to get your flow right.",/expert-advice/how-to-use-your-refrigerators-crisper-drawer-article,,,,,
Introducing the Pickled Fried Green Tomato,article,"When they join forces, two classic Southern sides—fried pickles and fried green tomatoes—are unstoppable.",/expert-advice/how-to-make-pickled-fried-green-tomatoes-article,,,,,
6 Easy Recipes for a Relaxed Summer Weekend,article,"Keep things laid-back with simple, satisfaction-guaranteed dishes.",/recipes-menus/simple-summer-weekend-menu-pancakes-steak-pasta-recipes-article,,,,,
5 Summer Salads That Get Better Overnight,article,Not every salad needs to be eaten the day it's made.,/recipes-menus/5-summer-salads-that-can-be-made-ahead-of-time-recipes-article,,,,,
Your New Go-To Cucumber Dish,article,You know that cold cucumber dish you've marveled at in Chinese restaurants? It's shockingly easy to make at home.,/recipes-menus/the-easiest-most-impressive-way-to-use-cucumbers-article,,,,,
Cucumber and Raisin Relish With Mustard Seeds,recipe,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds,4,100%,"['1/2 cup apple cider vinegar', '2 tablespoons light brown sugar', '2 teaspoons kosher salt', '2 teaspoons mustard powder', '1 medium cucumber (about 1/2 pound), cut into 1/4 inch pieces', '1/3 cup finely chopped onion', '2 ounces golden raisins (about 1/3 cup)', '2 teaspoons mustard seeds']","['Bring vinegar, brown sugar, salt, mustard powder, and 1/2 cup water to a boil in a medium pot over high heat, stirring occasionally, until sugar and salt dissolve, about 5 minutes.', 'Place cucumber, onion, raisins, and mustard seeds in a heatproof resealable container. Pour hot brining liquid over cucumber mixture; stir to combine. Let cool to room temperature, then cover and chill at least 2 hours before serving. Serve cool or at room temperature.']","['Condiment', 'Raisin', 'Cucumber', 'Side', 'Pickles', 'Vegan', 'Vegetarian', 'Pescatarian', 'Dairy Free', 'Wheat/Gluten-Free', 'Peanut Free', 'Tree Nut Free', 'Soy Free', 'Kosher']"
Transform Your Vegetable Garden With This One Simple Quack,article,An ode to the backyard duck.,/expert-advice/how-to-raise-ducks-for-a-vegetable-garden-article,,,,,
41 Three-Ingredient Summer Appetizers,article,Summer snacking doesn't need to be an elaborate affair—try these ideas for easy appetizers with three ingredients or fewer.,/expert-advice/3-ingredient-summer-appetizer-recipes-article,,,,,
Fresh Dill Cucumbers with Lemon,recipe,Fresh Dill Cucumbers with Lemon,/recipes/food/views/fresh-dill-cucumbers-with-lemon,0,0%,"['1 pound Persian or kirby cucumbers, thinly sliced lengthwise on a mandoline', '1/4 cup coarsely chopped fresh dill', '1 teaspoon kosher salt', 'Freshly ground black pepper', '1 tablespoon finely grated lemon zest', '1 tablespoon fresh lemon juice']","['Combine cucumbers, dill, and salt in a medium bowl; season with pepper and toss to coat. Cover and chill 30 minutes.', 'Drain cucumbers and place in a clean bowl. Top with lemon zest and juice.']","['Bon Appétit', 'Cucumber', 'Salad', 'Dill', 'Healthy', 'Vegetarian', 'Kid-Friendly', 'Small Plates']"
How to Preserve Summer's Bounty—No Canning Required,article,You don't need to do the whole hot-water bath thing if you want to preserve fruits and vegetables. Here are 3 alternative methods.,/expert-advice/how-to-preserve-summer-vegetables-fruits-without-canning-article,,,,,
What to Cook This Weekend: Pssst....It's Mother's Day,article,"Feel free to get lost in hazy spring days with these easy, delicious dishes. But when Sunday rolls around, don't forget about your mama.",/holidays-events/mothers-day-weekend-brunch-dinner-meal-plan-menu-article,,,,,
What Makes This Steak Salad So Addictive? The Secret's In the Sauce.,article,It's a marinade. It's a dressing. Is there anything this vibrant green sauce can't do?,/recipes-menus/moroccan-chermoula-grilled-steak-salad-sauce-marinade-article,,,,,
How to Build a Meal Around a Ball of Mozzarella,article,"The fresh, creamy cheese can be turned into so many satisfying, uncomplicated summer meals.",/expert-advice/how-to-build-a-meal-around-a-ball-of-fresh-mozzarella-article,,,,,
The Simple Tool That Makes Food Look Amazing ,article,It can shave. It can ribbon. It can curl. It can zest. It can get you at least a hundred new Instagram followers.,/expert-advice/how-to-make-shaved-avocado-mango-chocolate-article,,,,,
The Early-Spring Recipes You Need This Weekend,article,Put away your soup pots and slow cookers and kick off the new season this weekend.,/recipes-menus/what-to-cook-this-weekend-march-early-spring-vegetables-article,,,,,
The Best (and Worst) Produce to Buy Organic ,article,Why it might not pay to buy organic mangoes—and why those cheap strawberries might be a bad idea.,/expert-advice/the-best-and-worst-produce-to-buy-organic-article,,,,,
How to Navigate the Pickle Aisle,article,Everything you need to know when buying pickles.,/ingredients/ultimate-guide-to-buying-pickles-article,,,,,
The Best Grocery Store in America Is Net Cost,article,"It's not grim Communist bread lines. It's not Putin-era luxury. It's a wonderland of salt, smoke, and fat.",/expert-advice/netcost-best-grocery-store-in-america-article,,,,,
"Why I Won’t Be Shamed for Cooking “Mom Recipes""",article,Getting dinner on the table night after night is no easy feat. So let's not shame parents who sometimes need to take a shortcut or two.,/expert-advice/on-mom-cooking-and-why-we-should-not-knock-it-article,,,,,
Crispy Pork Lettuce Wraps,recipe,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119,4,100%,"['1 (12-ounce) piece skin-on pork belly (about 4x3 1/2x1 1/4"")', 'Kosher salt, freshly ground pepper', '2 tablespoons light brown sugar, divided', '4 chiles de árbol', '2 star anise pods', '2 tablespoons soy sauce', '2 Persian or kirby cucumbers, thinly sliced', '2 scallions, thinly sliced', '1/2 red chile (such as Fresno or jalapeño), thinly sliced', '2 tablespoons unseasoned rice wine vinegar', '3 tablespoons gochujang (Korean red pepper paste)', '3 tablespoons white miso', '1 small head of lettuce (such as Little Gem or romaine hearts), torn', '1/2 bunch mint', '1/2 cup kimchi (optional)']","['Diagonally score fat side of pork belly, cutting through fat but stopping at flesh and spacing about 1/4"" apart. Season pork with salt and pepper and sprinkle with 1 tablespoon brown sugar. Wrap tightly in plastic wrap and let sit at least 2 hours, or chill up to 2 days.', 'Preheat oven to 400°F. Unwrap pork and place in the smallest baking dish you can. Add chiles de árbol, star anise, soy sauce, remaining 1 tablespoon brown sugar, and 1 1/4 cups water. Roast until most of fat has rendered, meat is tender, and top is browned and crisp, 2–2 1/2 hours.', 'Meanwhile, toss cucumbers, scallions, red chile, and vinegar in a small bowl to combine. Mix gochujang and miso in another small bowl.', 'Transfer pork to a cutting board; let rest 10 minutes. Pour off pan juices into a measuring glass. Skim fat from surface.', 'Slice pork into 1/2"" slices, transfer to a platter, and pour pan juices over. Serve with lettuce for wrapping and cucumber salad, mint, kimchi (if using), and gochugang-miso mixture for topping.']","['Pork', 'Kid-Friendly', 'Dinner', 'Lunch', 'Mint', 'Cucumber', 'Cabbage', 'Lettuce', 'Bon Appétit', 'Dairy Free', 'Peanut Free', 'Tree Nut Free', 'Small Plates']"
The Ultimate No-Wilt Lunch Salad,article,Skip the sad spring mix and follow these tips instead.,/expert-advice/how-to-pack-a-no-wilt-salad-article,,,,,
How to Become a Pro Bowler,article,Bowl food doesn't get beautiful (and nutritious) (and filling) automatically—it takes a plan. And there's nobody better to get that plan from than the guy who literally wrote the book on the subject.,/expert-advice/how-to-make-grain-noodle-bowls-lukas-volger-article,,,,,
16 Ways to Cook With Chile Oil,article,"Whether homemade or store-bought, chile oil will add a welcome hit of heat and flavor to almost anything you cook.",/ingredients/16-ways-to-cook-with-chile-oil-article,,,,,
Miso-Cured Black Cod with Chilled Cucumbers,recipe,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995,1,0%,"['3/4 pound skin-on black cod fillet', 'Kosher salt', '3/4 cup white miso', '3 tablespoons mirin', '3 tablespoons sake']","['Slice cod 3/4"" thick, leaving skin on and bones in (the bones will slip right out when fish is cooked). Season very lightly with salt and place on a paper towel.lined baking sheet. Cover with another paper towel and chill 1 hour (this will draw out some moisture and any fishy flavors).', 'Combine miso and mirin in a small bowl. Wet 2 paper towels (you can also use cheesecloth) with sake and squeeze out any excess. Spread half of miso mixture in a 13x9"" baking dish in a thin, even layer. Cover with a sake-moistened paper towel. Arrange cod in a single layer on top. Cover with the other sakemoistened towel. Spread remaining miso mixture over towel. Cover; chill 3 days.', 'Preheat broiler. Transfer cod to a rimmed baking sheet; discard miso mixture and paper towels. Broil cod until golden brown around the edges and cooked through, about 4 minutes. Let cool slightly, then pull out bones.']","['Japanese', 'Broil', 'Cod', 'Healthy', 'Low Cholesterol', 'Bon Appétit']"
Make a Springtime Sandwich Lunch Buffet for Easter,article,"Easter doesn't have to mean salty ham or long-cooking lamb. Freshen things up with this fun, fresh sandwich spread that's perfect for a holiday crowd.",/recipes-menus/easter-easy-holiday-sandwich-lunch-buffet-article,,,,,
How to Throw a Hot Pot Party With a Slow Cooker,article,"It's the all-you-can-eat fondue party that, thankfully, isn't a fondue party at all.",/expert-advice/how-to-throw-hot-pot-party-at-home-article,,,,,
How to Eat Less Meat (Without Going Cold Turkey),article,Consider shifting meat from the center of your plate to the side.,/expert-advice/how-to-move-meat-to-the-side-of-the-plate-article,,,,,
Cold Asian Noodle Salad,recipe,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow.",/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799,3,60%,"['1 pound wide rice noodles', '8 cups shredded cooked chicken', '4 small cucumbers, thinly sliced (about 3 cups)', '1/3 cup fresh basil leaves, torn', '1/3 cup fresh cilantro leaves, torn', '1/3 cup fresh mint leaves, torn', '1/4 cup fish sauce (such as nam pla or nuoc nam)', '1/4 cup fresh lime juice', '1/4 cup honey', '1/4 cup soy sauce', 'Hot chili paste (such as sambal oelek)']","['Cook noodles according to package directions. Drain, transfer to a large bowl of ice water, drain again, then pat dry. Transfer noodles to another large bowl and add chicken, cucumbers, basil, cilantro, and mint.', 'Whisk fish sauce, lime juice, honey, and soy sauce in a medium bowl. Season with hot chili paste. Add fish sauce mixture to noodle salad and stir to combine. Serve immediately.']","['Asian', 'Salad', 'Chicken', 'Kid-Friendly', 'Dinner', 'Lunch', 'Basil', 'Cucumber', 'Hot Pepper', 'Healthy', 'Noodle', 'Dairy Free', 'Peanut Free', 'Tree Nut Free', 'Small Plates']"
We May Have Become Slightly Obsessed With Bowl Food This Year,article,Plates are so 2014.,/expert-advice/the-year-of-bowl-food-2015-article,,,,,
Cucumbers with Scallions and Chili Oil,recipe,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.,/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645,0,0%,"['1 pound Persian or English hothouse cucumbers', '1 teaspoon kosher salt', '3 sliced scallions', '3 tablespoons unseasoned rice vinegar', '1 teaspoon toasted sesame seeds', 'Chili oil (drizzle)']","['Gently smack 1 pound Persian or English hothouse cucumbers with a rolling pin or the bottom of a heavy pot until they begin to break apart. Tear into bite-size pieces. Transfer to a colander; toss with 1 teaspoon kosher salt. Let sit 10 minutes to drain excess liquid.', 'Transfer cucumbers to a medium bowl and toss with 3 sliced scallions, 3 tablespoons unseasoned rice vinegar, and 1 teaspoon toasted sesame seeds. Taste and adjust seasoning with salt. Drizzle with chili oil.']","['Side', 'Low Carb', 'Low Fat', 'Kid-Friendly', 'Quick & Easy', 'Low Cal', 'Cucumber', 'Spring', 'Summer', 'Healthy', 'Bon Appétit', 'Sugar Conscious', 'Vegan', 'Vegetarian', 'Pescatarian', 'Dairy Free', 'Wheat/Gluten-Free', 'Peanut Free', 'Tree Nut Free', 'Soy Free', 'No Sugar Added', 'Kosher', 'Small Plates']"
Strawberry-Cucumber Salad with Lemon Cream,recipe,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.,/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861,4,100%,"['4 cups quartered hulled strawberries (from 1 pound whole)', '3 sliced Persian cucumbers', '1 teaspoon sugar', '1/2 teaspoon ground cardamom', 'A pinch of salt', '1/2 cup crème fraîche', '2 teaspoons sugar', '1 teaspoon fresh lemon juice', 'A pinch of salt', '1/4 cup unsalted, roasted pistachios', 'A pinch of cayenne pepper', 'A pinch of salt']","['Toss 4 cups quartered hulled strawberries (from 1 pound whole), 3 sliced Persian cucumbers, 1 teaspoon sugar, 1/2 teaspoon ground cardamom, and a pinch of salt in a medium bowl and let sit 10 minutes to allow sugar to dissolve and flavors to meld.', 'Meanwhile, mix 1/2 cup crème fraîche, 2 teaspoons sugar, 1 teaspoon fresh lemon juice, and a pinch of salt in a small bowl; set lemon cream aside.', ""Pulse 1/4 cup unsalted, roasted pistachios, a pinch of cayenne pepper, and a pinch of salt in a food processor until nuts are just finely ground (do not overprocess or you'll end up with nut butter)."", 'Divide fruit salad among plates and spoon some of the reserved lemon cream over; sprinkle with ground seasoned pistachios.']","['Salad', 'Dessert', 'Side', 'Kid-Friendly', 'Quick & Easy', 'Strawberry', 'Pistachio', 'Cucumber', 'Summer', 'Bon Appétit', 'Vegetarian', 'Pescatarian', 'Wheat/Gluten-Free', 'Peanut Free', 'Soy Free', 'Kosher', 'Diabetes-Friendly', 'Small Plates']"
Eat Hummus for Dinner,article,Turn your favorite dip into a satisfying meal with these 5 topping ideas.,/expert-advice/its-okay-to-eat-hummus-for-dinner-article,,,,,
The Keys to Making Great Bánh Mì at Home,article,Not making this classic Vietnamese sandwich at home? Don't worry—Sandwich Theory will show you the way.,/expert-advice/how-to-make-banh-mi-sandwich-at-home-article,,,,,
Ginger-Dill Pickles,recipe,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine.",/recipes/food/views/ginger-dill-pickles-56389773,0,0%,"['1 (1-inch) piece ginger, peeled, thinly sliced legthwise', '4 garlic cloves, halved', '2 cups white wine vinegar', '1/2 cup sugar', '2 tablespoons kosher salt', '2 teaspoons coriander seeds', '10 Persian cucumbers, quartered', '12 sprigs dill']","['Bring ginger, garlic, vinegar, sugar, salt, coriander seeds, and 2 cups water to a boil in a medium pot over high heat, stirring occasionally. Reduce heat to medium-low and simmer 10 minutes.', 'Place cucumbers and dill in a heatproof resealable container or jar (divide among several containers if necessary). Pour hot brining liquid over cucumbers and dill. Let cool to room temperature, then cover and chill at least 2 hours before serving.']","['Ginger', 'Low Fat', 'Kid-Friendly', 'Low Cal', 'Cucumber', 'Healthy', 'Vegan', 'Dill', 'Small Plates']"
Sweet and Sour Pickles,recipe,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms.",/recipes/food/views/sweet-and-sour-pickles-56389775,2,100%,"['2 cups apple cider vinegar', '1/2 cup (packed) brown sugar', '10 whole cloves', '3 whole star anise pods', '2 tablespoons kosher salt', '1 tablespoon dried mustard powder', '1 tablespoon mustard seeds', '1/2 teaspoon black peppercorns', '2 medium yellow squash (about 1/2 pound), thinly sliced crosswise']","['Bring vinegar, brown sugar, cloves, star anise, salt, mustard powder, mustard seeds, peppercorns, and 2 cups water to a boil in a medium pot over high heat, stirring occasionally. Reduce heat to medium-low and simmer 10 minutes.', 'Place squash in a heatproof resealable container or jar (divide among several containers if necessary). Pour hot brining liquid over squash. Let cool to room temperature, then cover and chill at least 2 hours before serving.']","['Low Fat', 'Kid-Friendly', 'Low Cal', 'Healthy', 'Vegan', 'Anise', 'Clove', 'Yellow Squash', 'Small Plates']"
11 Things You Should Never Put in Your Freezer,article,The freezer is a lifesaver—except when it kills the groceries you put into it.,/expert-advice/11-things-you-should-never-put-in-your-freezer-article,,,,,
How to Put Away Summer Fruits and Vegetables for the Winter,article,Keep a little piece of summer for the rest of the year.,/expert-advice/how-to-freeze-summer-fruits-and-vegetables-article,,,,,
This Weekend: Deep Dive Into Tomato Season,article,Now is the time to eat your weight in tomatoes.,/recipes-menus/what-to-cook-this-weekend-all-the-tomatoes-article,,,,,
Everything You Need to Make Sensational Salads,guide,"Recipes, techniques, dressings, and the surprise ingredient you're probably leaving out.",/recipes-menus/salad-recipes-advice-tips-techniques-dressings-package,,,,,
Charred Romaine Greek Salad With Quinoa-Crusted Feta,recipe,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!",/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585,4,100%,"['1/2 cup (2 ounces /60 grams) Kalamata olives, finely chopped', '1/2 cup parsley, dill, and mint, chopped', '1/4 cup red onion, finely chopped', '1/4 cup (2 ounces/60 milliliters) red wine vinegar', '6 tablespoons (3 ounces/90 milliliters) extra-virgin olive oil']","['1. In a medium bowl, stir together the olives, herbs, onion, vinegar, and oil. Set aside.']","['Salad', 'Low Fat', 'Vegetarian', 'Kid-Friendly', 'Low Cal', 'Wheat/Gluten-Free', 'Dinner', 'Lunch', 'Salad Dressing', 'Healthy', 'Low Cholesterol', 'Pescatarian', 'Peanut Free', 'Tree Nut Free', 'Soy Free', 'No Sugar Added', 'Kosher', 'Small Plates']"
"4 Cool, Refreshing Soups for Summer",article,Because there's no better time to eat soup than the summer. Honest!,/expert-advice/refreshing-cold-soups-for-summer-article,,,,,
How to Pickle Everything,article,The easiest way to preserve summer's flavors? Quick pickle them.,/expert-advice/how-to-pickle-basically-everything-article,,,,,
Why You Should Drink Like a Brit This Summer,article,Summer’s most thirst-quenching cocktails all have one thing in common.,/expert-advice/low-alcohol-summer-cocktails-inspired-by-pimms-cup-article,,,,,
