field,percent_male
Architecture,100
Building and Construction,100
Business & Commerce,55
Community,62
Community - Multicultural Affairs,73
Conservation and the Environment,70
Dentistry,100
Disabled,40
Education,55
Engineering,100
Industrial Relations,100
Information Technology,100
International Relations,65
Local Government,80
Media,65
Medicine,70
Mining,100
Parliament & Politics,85
Primary Industry,95
Public Service,100
Public Service (Federal),80
Religion,87
"Science, Technological Developments, R&D",94
Sport,55
The Arts,50
The Law,70
Tourism & Hospitality,100
Transport,100
Veterinary Science,50